#ID_REF = 
#VALUE = Quantification
ID_REF	VALUE
7892856	1.41131
7892857	9.66219
7892858	0.928666
7892859	4.17668
7892860	3.16492
7892861	9.56367
7892862	8.23841
7892863	5.36118
7892864	1.55806
7892865	7.46839
7892866	1.49587
7892867	1.31267
7892868	9.84236
7892869	2.44572
7892870	5.44184
7892871	3.0408
7892872	3.24359
7892873	1.36149
7892874	2.20096
7892875	3.94491
7892876	3.20986
7892877	1.59283
7892878	2.54262
7892879	1.28968
7892880	9.48723
7892881	1.86859
7892882	8.2894
7892883	1.37614
7892884	9.86071
7892885	2.30402
7892886	3.0944
7892887	1.48482
7892888	1.31329
7892889	9.45308
7892890	9.46822
7892891	9.40956
7892892	2.1307
7892893	7.4402
7892894	9.00944
7892895	2.0965
7892896	8.03747
7892897	3.86469
7892898	6.14763
7892899	9.16789
7892900	10.0485
7892901	8.81178
7892902	11.3598
7892903	3.40667
7892904	0.960482
7892905	1.5651
7892906	11.456
7892907	9.53463
7892908	2.80176
7892909	4.16623
7892910	1.02363
7892911	6.09674
7892912	4.13724
7892913	2.52375
7892914	1.51081
7892915	4.06873
7892916	6.91074
7892917	2.13618
7892918	2.57865
7892919	7.09803
7892920	4.51695
7892921	1.66487
7892922	2.59057
7892923	1.2579
7892924	8.01929
7892925	8.25966
7892926	4.93578
7892927	1.47131
7892928	6.65159
7892929	1.1977
7892930	8.28096
7892931	3.38426
7892932	1.84809
7892933	1.5651
7892934	3.29866
7892935	8.30463
7892936	2.18382
7892937	5.26547
7892938	3.78654
7892939	7.97302
7892940	9.04402
7892941	9.57608
7892942	2.93014
7892943	1.25496
7892944	7.33697
7892945	1.62742
7892946	2.12557
7892947	9.90129
7892948	7.72696
7892949	2.18765
7892950	2.31107
7892951	4.43049
7892952	2.85685
7892953	7.76801
7892954	9.91474
7892955	7.58435
7892956	9.1637
7892957	2.79807
7892958	1.45628
7892959	4.66219
7892960	6.44053
7892961	3.28387
7892962	1.56596
7892963	1.18697
7892964	1.56025
7892965	1.25921
7892966	10.1656
7892967	7.44653
7892968	8.46581
7892969	8.83097
7892970	1.38088
7892971	1.28667
7892972	8.94616
7892973	3.1681
7892974	2.43402
7892975	1.17597
7892976	1.46041
7892977	9.95329
7892978	3.05957
7892979	7.60022
7892980	2.12165
7892981	8.78324
7892982	1.88894
7892983	9.58158
7892984	4.80527
7892985	1.84809
7892986	9.19883
7892987	9.5515
7892988	1.11781
7892989	3.92634
7892990	1.02363
7892991	6.28363
7892992	9.75927
7892993	7.06395
7892994	1.21227
7892995	1.77534
7892996	4.32689
7892997	2.50069
7892998	2.1702
7892999	3.07753
7893000	4.50003
7893001	7.4728
7893002	9.56654
7893003	4.00034
7893004	2.20096
7893005	1.35375
7893006	2.75395
7893007	1.67887
7893008	5.5434
7893009	1.4799
7893010	2.3247
7893011	3.26444
7893012	8.23135
7893013	3.56524
7893014	1.76826
7893015	10.1543
7893016	3.74604
7893017	3.60731
7893018	2.63356
7893019	1.7171
7893021	2.87457
7893022	2.06421
7893023	7.71837
7893024	1.9625
7893025	6.13661
7893026	6.23735
7893027	2.68412
7893028	1.99871
7893029	9.14131
7893030	3.45537
7893031	8.9359
7893032	6.52616
7893033	3.86469
7893034	1.93708
7893035	3.50669
7893036	8.58218
7893037	4.66516
7893038	1.04138
7893039	8.56377
7893040	1.61959
7893041	1.53112
7893042	6.87304
7893043	4.56812
7893044	1.54199
7893045	1.09948
7893046	2.70675
7893047	1.79168
7893048	3.38036
7893049	2.35437
7893050	9.7356
7893051	3.7631
7893052	2.83752
7893053	2.34921
7893055	2.12807
7893056	3.21903
7893057	1.37579
7893058	9.71575
7893059	3.45156
7893060	2.6471
7893061	8.97141
7893062	2.15937
7893063	2.52172
7893064	7.27988
7893065	1.59294
7893066	1.43042
7893067	6.1117
7893068	4.04299
7893069	5.32424
7893070	9.16717
7893071	3.86235
7893072	3.65045
7893073	7.48612
7893074	6.07377
7893075	9.26747
7893076	2.24412
7893077	11.4935
7893078	1.57511
7893079	9.39133
7893080	1.82733
7893081	10.108
7893082	3.76646
7893083	1.74516
7893084	4.9584
7893085	6.7396
7893086	8.44115
7893087	9.06444
7893088	1.74353
7893089	4.69933
7893090	10.9339
7893091	5.44184
7893092	2.58759
7893093	1.79107
7893094	10.7024
7893095	2.15422
7893096	7.21301
7893097	5.97218
7893098	2.65997
7893099	2.85009
7893100	3.9583
7893101	9.6969
7893102	2.09339
7893103	11.1522
7893104	4.25653
7893105	6.09653
7893106	6.31796
7893107	1.52359
7893108	1.48761
7893109	1.68912
7893110	2.39169
7893111	1.95551
7893112	1.20374
7893113	7.00888
7893114	2.38819
7893115	1.22688
7893116	5.68777
7893117	1.80195
7893118	3.84614
7893119	2.29792
7893120	2.76395
7893121	6.40439
7893122	7.34346
7893123	3.47572
7893124	1.80798
7893125	5.73403
7893126	1.43042
7893127	1.88894
7893128	5.58376
7893129	1.43137
7893130	9.79121
7893131	9.54632
7893132	1.27426
7893133	9.26953
7893134	4.70119
7893135	1.24125
7893136	2.2692
7893137	1.63077
7893138	10.8303
7893139	11.0114
7893140	10.4967
7893141	3.74589
7893142	1.72805
7893143	1.49374
7893144	2.12821
7893145	4.51952
7893146	2.30727
7893147	10.5718
7893148	6.11739
7893149	2.32584
7893150	2.04455
7893151	3.74372
7893152	8.36823
7893153	9.24439
7893154	3.57997
7893155	1.87786
7893156	1.6921
7893157	1.21036
7893158	3.37356
7893159	1.99236
7893160	9.02334
7893161	1.63294
7893162	2.17566
7893163	1.49054
7893164	6.78883
7893165	3.58244
7893166	2.48271
7893167	3.161
7893168	4.36134
7893169	3.82655
7893170	4.71172
7893171	1.6492
7893172	3.95845
7893173	11.6605
7893174	2.25714
7893175	3.66151
7893176	1.62376
7893177	1.88894
7893178	2.00103
7893179	2.87077
7893180	3.75557
7893181	8.71288
7893182	3.93643
7893183	3.97642
7893184	6.63225
7893185	2.20966
7893186	2.18988
7893187	9.19858
7893188	1.89463
7893189	10.9144
7893190	3.87357
7893191	7.75788
7893192	2.28325
7893193	1.75865
7893194	9.55203
7893195	1.82772
7893196	7.88468
7893197	1.20563
7893198	1.42262
7893199	1.29317
7893200	1.32161
7893201	8.903
7893202	3.91842
7893203	1.08522
7893204	2.28998
7893205	10.4051
7893206	1.64724
7893207	4.79388
7893208	8.50934
7893209	5.27263
7893210	6.11916
7893211	2.02865
7893212	1.62364
7893213	2.43441
7893214	1.48761
7893215	2.75657
7893216	1.87957
7893217	10.1204
7893218	11.4979
7893219	3.52424
7893220	6.16236
7893221	1.11058
7893222	1.49054
7893223	3.15713
7893224	1.74745
7893225	3.18999
7893226	2.61714
7893227	3.86197
7893228	2.99928
7893229	3.3318
7893230	2.04756
7893231	9.07864
7893232	4.26573
7893233	1.68599
7893234	3.15233
7893235	4.35237
7893236	5.22486
7893237	7.56703
7893238	9.85607
7893239	3.56254
7893240	7.42004
7893241	3.22656
7893242	7.02285
7893243	1.99427
7893244	9.0994
7893245	1.62521
7893246	4.19478
7893247	7.2691
7893248	5.84267
7893249	7.02895
7893250	1.78767
7893251	2.28503
7893252	2.2843
7893253	1.70866
7893254	3.09692
7893255	1.97961
7893256	1.58951
7893257	4.44698
7893258	8.48635
7893259	9.06454
7893260	3.48745
7893261	9.62685
7893262	8.6487
7893263	3.88014
7893264	10.289
7893265	1.72406
7893266	9.29941
7893267	1.20431
7893268	6.53688
7893269	4.62391
7893270	10.9602
7893271	9.68596
7893272	9.9643
7893273	4.15774
7893274	1.64441
7893275	1.28592
7893276	1.19256
7893277	3.43109
7893278	3.29384
7893279	1.0671
7893280	0.874594
7893281	8.43193
7893282	1.42439
7893283	8.3845
7893284	1.36301
7893285	4.12911
7893286	1.87389
7893287	1.7876
7893288	5.83046
7893289	7.64584
7893290	3.07847
7893291	2.13617
7893292	1.70061
7893293	1.41496
7893294	6.27079
7893295	2.5836
7893296	1.78454
7893297	8.35921
7893298	7.66717
7893299	2.65997
7893300	2.8326
7893301	1.90439
7893302	3.22989
7893303	1.68912
7893304	2.95816
7893305	3.17023
7893306	5.22572
7893307	1.5223
7893308	2.10449
7893309	5.29973
7893310	2.15704
7893311	4.85398
7893312	1.25562
7893313	7.50116
7893314	1.59265
7893315	1.93797
7893316	10.377
7893317	1.4694
7893318	3.79767
7893319	2.34495
7893320	1.62313
7893321	7.59773
7893322	2.51446
7893323	1.38105
7893324	2.90769
7893325	3.07745
7893326	1.55826
7893327	1.76412
7893328	1.78373
7893329	5.2471
7893330	1.83196
7893331	2.4868
7893332	4.41749
7893333	6.11377
7893334	5.79508
7893335	3.94611
7893336	7.80207
7893337	6.20237
7893338	5.2184
7893339	7.38231
7893340	6.65724
7893341	4.82608
7893342	2.543
7893343	3.91281
7893344	8.08267
7893345	11.0809
7893346	7.41009
7893347	1.30137
7893348	8.3395
7893349	5.94104
7893350	3.3291
7893351	7.424
7893352	2.89318
7893353	5.5374
7893354	8.77008
7893355	1.61959
7893356	7.19742
7893357	10.6504
7893358	1.36149
7893359	3.58874
7893360	4.40219
7893361	4.08525
7893362	8.39775
7893363	3.61421
7893364	9.14896
7893365	2.6238
7893366	1.35305
7893367	2.33597
7893368	1.23001
7893369	2.62528
7893370	2.54279
7893371	10.3003
7893372	1.24125
7893373	3.85857
7893374	9.94479
7893375	1.30828
7893376	1.36149
7893377	1.14852
7893378	1.38614
7893379	1.2567
7893380	2.07409
7893381	0.977707
7893382	10.401
7893383	2.15063
7893384	5.58212
7893385	9.40557
7893386	11.231
7893387	1.19936
7893388	1.90311
7893389	1.20968
7893390	7.96747
7893391	6.52793
7893392	3.07379
7893393	10.9898
7893394	9.62521
7893395	8.30873
7893396	3.38946
7893397	1.38087
7893398	1.68827
7893399	9.33689
7893400	1.99411
7893401	1.53593
7893402	6.39346
7893403	2.27683
7893404	2.70478
7893405	2.09051
7893406	1.13268
7893407	8.64032
7893408	1.75427
7893409	5.19081
7893410	4.61809
7893411	3.35395
7893412	1.61817
7893413	7.20799
7893414	10.121
7893415	2.27968
7893416	2.37636
7893417	1.2703
7893418	5.80717
7893419	10.2585
7893420	8.31759
7893421	1.66233
7893422	10.4528
7893423	1.62468
7893424	10.2328
7893425	1.12555
7893426	1.63659
7893427	2.93504
7893428	5.12882
7893429	1.9431
7893430	1.4261
7893431	1.98079
7893432	3.62445
7893433	1.95557
7893434	1.25562
7893435	6.08538
7893436	3.39875
7893437	1.83105
7893438	5.66404
7893439	9.84276
7893440	1.18614
7893441	6.78747
7893442	1.91766
7893443	5.45217
7893444	2.55592
7893445	1.5019
7893446	3.25056
7893447	8.80597
7893448	7.14051
7893449	5.83235
7893450	1.67726
7893451	2.71999
7893452	2.02151
7893453	4.83783
7893454	8.56161
7893455	4.47696
7893456	1.78263
7893457	1.04418
7893458	8.65667
7893459	1.33884
7893460	9.49726
7893461	6.71796
7893462	2.09734
7893463	4.06872
7893464	3.16262
7893465	2.20858
7893466	10.8873
7893467	8.06915
7893468	1.40282
7893469	10.6723
7893470	2.59997
7893471	2.04389
7893472	2.39811
7893473	4.60847
7893474	1.87997
7893475	2.83985
7893476	9.0253
7893477	6.68098
7893478	2.75555
7893479	1.62521
7893480	4.94539
7893481	4.92691
7893482	1.68827
7893483	4.37718
7893484	1.48761
7893485	9.05685
7893486	11.4029
7893487	1.36741
7893488	1.96348
7893489	1.13244
7893490	1.31644
7893491	6.75095
7893492	2.20858
7893493	3.36026
7893494	8.198
7893495	2.11544
7893496	1.18978
7893497	6.26182
7893498	10.4282
7893499	1.09484
7893500	5.47033
7893501	4.30564
7893502	1.25719
7893503	2.99928
7893504	8.21702
7893505	1.2223
7893506	3.70596
7893507	11.2521
7893508	2.47833
7893509	2.00109
7893510	1.51131
7893511	5.42063
7893512	1.0421
7893513	5.78271
7893514	1.94292
7893515	6.54206
7893516	9.9197
7893517	6.96707
7893518	6.74056
7893519	1.32261
7893520	1.85793
7893521	0.965244
7893522	2.03738
7893523	1.87566
7893524	3.19758
7893525	3.59058
7893526	1.42272
7893527	2.50248
7893528	5.79615
7893529	1.74432
7893530	10.176
7893531	3.4391
7893532	1.24125
7893533	5.20152
7893534	7.84914
7893535	2.12406
7893536	8.04539
7893537	1.51134
7893538	2.74637
7893539	10.5839
7893540	9.50966
7893541	1.73487
7893542	3.7631
7893543	10.7888
7893544	5.22141
7893545	7.44211
7893546	5.53821
7893547	11.3075
7893548	1.71529
7893549	5.6313
7893550	9.76954
7893551	8.61635
7893552	3.95736
7893553	1.93378
7893554	9.24326
7893555	4.1277
7893556	3.18468
7893557	3.80912
7893558	9.6889
7893559	10.8172
7893560	5.26912
7893561	8.07409
7893562	1.40895
7893563	1.38799
7893564	11.6668
7893565	1.39113
7893566	1.60715
7893567	2.7077
7893568	3.13909
7893569	1.08711
7893570	5.79615
7893571	9.93002
7893572	6.36521
7893573	7.73381
7893574	9.60439
7893575	2.16999
7893576	1.25298
7893577	1.60489
7893578	2.07018
7893579	1.88705
7893580	2.14194
7893581	1.6459
7893582	11.6171
7893583	3.05405
7893584	1.25274
7893585	4.91047
7893586	4.27695
7893587	5.43919
7893588	2.6481
7893589	3.59064
7893590	1.19256
7893591	9.1198
7893592	10.3259
7893593	7.50426
7893594	7.64485
7893595	1.58022
7893596	2.42466
7893597	1.39394
7893598	5.89606
7893599	5.58087
7893600	4.13354
7893601	4.88861
7893602	9.37414
7893603	10.0137
7893604	1.89385
7893605	8.40635
7893606	2.51005
7893607	1.87373
7893608	5.91247
7893609	9.9085
7893610	1.8781
7893611	1.5752
7893612	1.23031
7893613	7.8647
7893614	1.76758
7893615	2.65275
